image,preprocess,text_threshold,mag_ratio,contrast_ths,decoder,predicted_text,avg_confidence,cer,elapsed_sec
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.8,0.1,greedy,TI +이 [IC,0.4677,N/A,7.014
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.8,0.1,beamsearch,TI +이 [IC,0.4677,N/A,6.894
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.8,0.3,greedy,TI +이 [IC,0.4677,N/A,6.761
easyOCR_testimg\img_003_16px.png,adaptive_thresh,0.7,1.8,0.3,beamsearch,TI +이 [IC,0.4677,N/A,6.966
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.0,0.1,greedy,[[I어파이프,0.2911,N/A,2.522
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.0,0.1,beamsearch,[[어파이프,0.2911,N/A,2.399
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.0,0.3,greedy,[[I어파이프,0.2911,N/A,2.184
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.0,0.3,beamsearch,[[어파이프,0.2911,N/A,2.395
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.8,0.1,greedy,I [[I어파이프 1,0.8183,N/A,6.663
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.8,0.1,beamsearch,I [[I어파이프 1,0.8183,N/A,6.916
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.8,0.3,greedy,I [[I어파이프 1,0.8183,N/A,7.12
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.5,1.8,0.3,beamsearch,I [[I어파이프 1,0.8183,N/A,7.136
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.0,0.1,greedy,[[I어파이프,0.2911,N/A,2.247
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.0,0.1,beamsearch,[[어파이프,0.2911,N/A,2.002
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.0,0.3,greedy,[[I어파이프,0.2911,N/A,2.22
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.0,0.3,beamsearch,[[어파이프,0.2911,N/A,1.998
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.8,0.1,greedy,[[I어파이프,0.6019,N/A,6.744
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.8,0.1,beamsearch,[[I어파이프,0.6019,N/A,7.108
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.8,0.3,greedy,[[I어파이프,0.6019,N/A,6.876
easyOCR_testimg\img_003_16px.png,denoise_otsu,0.7,1.8,0.3,beamsearch,[[I어파이프,0.6019,N/A,6.659
